"# Constructed from biom file"									
"#OTU ID"	"Tiberias_Pool_09_2017"	"Tiberias_Head_09_2017"	"Tiberias_Pool_09_2018"	"Tiberias_Pool_01_2019"	"Tiberias_Pool_06_2018"	"Tiberias_Pool_01_2018"	"Tiberias_Head_01_2019"	"Tiberias_Head_06_2018"	"Tiberias_Head_01_2018"
"00ffa"	0	121	0	0	0	104	0	0	101
"f8481"	0	81	42	32	240	0	139	0	0
"d7f5c"	0	41	0	0	0	0	0	0	156
"a724c"	0	17	0	0	0	0	0	0	0
"e97f7"	9	0	0	0	0	50	0	0	0
"5f2ab"	0	0	0	0	0	18	0	0	316
"32417"	0	0	0	0	169	0	0	0	0
"05fba"	0	0	0	8	318	0	0	0	0
"0f112"	0	0	129	863	42	3	5	0	0
"5bbd9"	0	11	0	0	0	0	0	0	0
"2081f"	0	0	0	0	0	0	57	0	27
"3a6fe"	0	130	0	0	0	52	0	0	406
"8c730"	0	0	0	0	0	15	0	0	0
"d7cd9"	0	0	10	0	13	142	0	0	0
"516d6"	0	0	0	0	0	38	0	0	0
"ad56d"	0	0	0	0	0	0	0	0	42
"e1e6e"	0	0	0	0	0	0	0	0	9
"8294b"	4	0	53	1544	0	23	452	0	34
"89172"	0	0	0	0	0	30	0	0	0
"ed27b"	0	14	0	0	0	5	0	0	25
"b4bfc"	0	0	0	0	0	82	0	0	0
"d7b79"	0	0	0	0	0	0	0	0	41
"9cbdb"	3	0	0	0	0	15	0	0	190
"8c1eb"	0	0	0	0	0	0	0	0	166
"141d0"	0	0	0	0	0	9	0	0	0
"f13aa"	0	14	0	0	0	0	0	0	0
"fd7ae"	128	675	748	4298	2024	0	436	42	417
"a173a"	6	575	63	0	522	191	7	9	212
"d5b00"	1159	463	5027	544	512	6	588	600	938
"3bfb9"	0	0	0	0	119	3	0	0	0
