"sampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"collection-date"	"yaer"	"month"	"sample-name-sequencing-centre"	"sequencing-centre"	"new-sample-IDs"	"sequancing-run"	"result"	"station"	"origin"	"environment"	"DEPTH"	"DNA-extraction"	"DNA-conc"	"temperature"	"pH"	"turbidity"	"conductivity"	"TN"	"TP"	"Na"
"Tiberias_Head_09_2017"			"09-2017"	2017	"Sep"	"12w-917"	"MrDNA"	"12W-917"	"12-2017"	"work"	"tveria-head"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	8.22	59	6.51	8.83	46600	9.44	24.6	360.59
"Tiberias_Pump_09_2017"			"09-2017"	2017	"Sep"	"13w-0917"	"MrDNA"	"13W-917"	"12-2017"	"work"	"tveria-pump"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	10.6	51	6.93	2.91	44900	2.55	27.9	341.8
"Tiberias_Pool_09_2018"			"09-2018"	2018	"Sep"	"Oded151_14W_0918"	"UIC"	"14W-918"	"10-2020"	"work"	"tveria-pool"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	3.46	44	6.91	1.26	48400	8.35	16.3	296.29
"Tiberias_Pool_01_2019"			"06-2018"	2018	"Jun"	"Oded182_14W_0618"	"UIC"	"14W-618"	"10-2020"	"work"	"tveria-pool"	"Hamei-tveria"	"water"	"0m"	"Power-water"	3.24	39	7.27	0.781	47500	36.22	8.7	295.46
"Tiberias_Pool_06_2018"			"01-2019"	2019	"Jan"	"Oded167_14W_0119"	"UIC"	"14W-119"	"10-2020"	"work"	"tveria-pool"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	12.7	39	7.27	0.781	47500	36.22	8.7	295.46
"Tiberias_Pool_01_2018"			"01-2018"	2018	"Jan"	"Oded135_14W_0118"	"UIC"	"14W-118"	"10-2020"	"work"	"tveria-pool"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	9.48	40	7.02	5.38	46800	3.85	16	284.72
"Tiberias_Head_09_2018"			"09-2018"	2018	"Sep"	"Oded149_12w_0918"	"UIC"	"12W-918"	"10-2020"	"work"	"tveria-head"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	1.03	58.5	6.36	0.81	46900	9.89	12.6	282.79
"Tiberias_Head_01_2019"			"06-2018"	2018	"Jun"	"Oded180_12W_0618"	"UIC"	"12W-618"	"10-2020"	"work"	"tveria-head"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	0.92	58	6.49	0.786	45700	33.73	7	277.38
"Tiberias_Head_06_2018"			"01-2019"	2019	"Jan"	"Oded165_12w_0119"	"UIC"	"12W-119"	"10-2020"	"work"	"tveria-head"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	2.19	58	6.49	0.786	45700	33.73	7	277.38
"Tiberias_Pump_01_2019"			"01-2019"	2019	"Jan"	"Oded166_13w_0119"	"UIC"	"13W-119"	"10-2020"	"work"	"tveria-pump"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	15.2	43.5	6.98	7.39	44400	28.52	24.8	271.67
"Tiberias_Pump_09_2018"			"09-2018"	2018	"Sep"	"Oded150_13w_0918"	"UIC"	"13W-918"	"10-2020"	"work"	"tveria-pump"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	3.5	49	6.92	2.91	43000	9.38	30.6	250.99
"Tiberias_Pump_01_2018"			"01-2018"	2018	"Jan"	"Oded134_13w_0118"	"UIC"	"13W-118"	"10-2020"	"work"	"tveria-pump"	"Hamei-tveria"	"Water"	"0m"	"Power-water"	4.96	39	6.69	5.86	37600	2.18	60.7	219.13
"Haon_01_2019"			"01-2019"	2019	"Jan"	"Oded164_16w_0119"	"UIC"	"16W-119"	"10-2020"	"work"	"haon-drill"	"Haon"	"Water"	"0m"	"Power-water"	26.8	25	6.8	15.2	25500	4.87	75.1	189.73
"Haon_09_2017"			"09-2017"	2017	"Sep"	"16w-0917"	"MrDNA"	"16W-917"	"12-2017"	"work"	"haon-drill"	"Haon"	"Water"	"0m"	"Power-water"	23.8	27	7.38	17.7	14400	2.57	98.3	115.57
"Haon_01_2018"			"01-2018"	2018	"Jan"	"Oded132_16w_0118"	"UIC"	"16W-118"	"10-2020"	"work"	"haon-drill"	"Haon"	"Water"	"0m"	"Power-water"	5.56	22.1	7.33	880	13920	3.69	130.2	87.97
"Haon_09_2018"			"09-2018"	2018	"Sep"	"Oded148_16w_0918"	"UIC"	"16W-918"	"10-2020"	"work"	"haon-drill"	"Haon"	"Water"	"0m"	"Power-water"	3.82	26	7.16	6.18	13410	5.97	41.9	87.34
